Date (UTC),182.1_to_183.delta,182_to_183.delta,MacVim.dmg,MacVim_10.9.dmg
2026-06-02 08:14:53,187,19378,22886,591
2026-06-03 08:42:51,187,19463,23276,598
2026-06-04 08:07:35,187,19563,23599,603
2026-06-05 07:55:15,188,19649,23952,616
2026-06-06 06:43:12,189,19719,24257,636
2026-06-07 07:43:12,189,19774,24564,640
2026-06-08 08:30:00,190,19834,24858,643
2026-06-09 07:32:49,191,19920,25189,652
2026-06-10 07:55:36,192,20012,25567,659
2026-06-11 08:23:18,192,20081,25930,670
2026-06-12 08:10:44,193,20151,26434,679
2026-06-13 07:35:42,194,20233,26887,690
2026-06-14 08:03:49,194,20284,27265,693
2026-06-15 09:46:46,196,20340,27673,696
2026-06-16 09:11:28,196,20415,28081,702
2026-06-17 08:49:37,197,20489,28469,708
2026-06-18 08:26:11,198,20555,28932,752
2026-06-19 08:53:44,198,20612,29348,776
2026-06-20 07:38:13,201,20672,29702,801
2026-06-21 08:17:15,201,20712,30040,805
2026-06-22 09:32:46,201,20767,30398,810
2026-06-23 03:15:28,202,20816,30708,813
2026-06-23 07:32:54,202,20823,30772,815
2026-06-24 07:01:33,202,20885,31159,819
2026-06-25 07:01:30,203,20948,31533,823
2026-06-26 07:37:38,204,21015,31905,828
2026-06-27 06:43:15,204,21075,32238,831
2026-06-28 07:39:49,204,21114,32557,834
2026-06-29 08:44:16,204,21164,32892,835
2026-06-30 07:37:49,204,21219,33229,841
2026-07-01 07:58:07,204,21269,33598,846
2026-07-02 06:56:06,204,21326,33942,851
2026-07-03 06:50:31,204,21382,34269,856
2026-07-04 06:36:29,204,21419,34584,862
2026-07-05 06:56:23,204,21439,34859,869
2026-07-06 08:05:45,205,21467,35186,873
2026-07-07 07:03:17,206,21510,35531,881
2026-07-08 06:15:53,206,21563,35896,884
2026-07-09 07:23:56,207,21621,36247,888
2026-07-10 07:02:56,207,21659,36579,889
2026-07-11 06:01:38,208,21707,36893,897
2026-07-12 06:19:46,209,21744,37195,898
2026-07-13 06:39:24,209,21790,37514,900
2026-07-14 05:57:44,209,21841,37859,905
2026-07-15 06:00:15,209,21884,38240,910
2026-07-16 06:04:55,209,21921,38648,914
2026-07-17 06:04:46,209,21977,39023,918
2026-07-18 05:52:51,209,22016,39404,926
2026-07-19 06:16:30,209,22042,39719,927
2026-07-20 06:34:50,209,22068,40048,931
2026-07-21 06:16:34,209,22110,40423,938
2026-07-22 06:15:17,210,22150,40814,942
2026-07-23 06:19:09,210,22196,41239,947
2026-07-24 06:13:47,210,22225,41622,950
2026-07-25 06:05:47,210,22248,41968,956
2026-07-26 06:23:53,211,22265,42289,960
2026-07-27 06:51:10,212,22291,42591,968
2026-07-28 06:14:11,212,22320,42948,973
2026-07-29 06:19:07,213,22337,43144,976
2026-07-30 06:12:43,213,22373,43507,980
2026-07-31 06:33:04,213,22418,43872,986
2026-08-01 06:16:06,213,22446,44225,992
2026-08-02 06:21:08,213,22461,44532,1000
2026-08-03 06:46:56,213,22487,44859,1012
2026-08-04 06:15:15,213,22517,45131,1017
2026-08-05 06:12:40,213,22553,45483,1021
2026-08-06 06:15:49,214,22578,45868,1028
2026-08-07 05:24:25,214,22617,46196,1033
2026-08-08 04:39:35,214,22647,46516,1043
2026-08-09 04:50:26,215,22679,46852,1049
2026-08-10 05:09:51,215,22702,47178,1054
2026-08-12 05:18:15,215,22770,47977,1069
2026-08-13 05:22:20,216,22813,48354,1071
2026-08-14 05:19:30,216,22839,48711,1078
2026-08-15 04:13:48,216,22865,49014,1085
2026-08-16 04:20:48,216,22882,49314,1089
2026-08-17 04:25:49,216,22914,49605,1094
